ngay,nhom,so_lo,gia_thap_trieu_m2,gia_trung_binh_trieu_m2,gia_cao_trieu_m2
2026-09-14,Trung tâm Nam Ban (thị trấn cũ),69,1.07,2.68,4.4
2026-09-14,Đông Thanh,27,1.42,2.26,4.35
2026-09-14,Mê Linh,13,0.86,2.59,4.18
2026-09-14,Gia Lâm,9,0.71,2.42,3.93
2026-09-14,Hồ Bãi Công,10,2.22,3.23,4.14
2026-09-14,Từ Liêm,5,2.32,3.32,3.62
2026-09-20,Đất nền có thổ cư (dưới 3.000m²),95,1.47,2.82,4.52
2026-09-20,Đất vườn / lô lớn từ 3.000m²,16,0.61,1.32,1.94
2026-09-20,Đất view hồ / view đẹp,39,1.52,2.94,4.68
2026-09-20,Trung tâm Nam Ban (thị trấn cũ),67,1.06,2.64,4.42
2026-09-20,Đông Thanh,26,1.42,2.26,4.42
2026-09-20,Mê Linh,13,0.86,2.59,4.15
2026-09-20,Gia Lâm,10,0.73,2.27,3.92
2026-09-20,Hồ Bãi Công,10,2.22,3.23,4.14
2026-09-20,Từ Liêm,4,2.17,3.36,3.65
2026-09-21,Đất nền có thổ cư (dưới 3.000m²),96,1.42,2.8,4.51
2026-09-21,Đất vườn / lô lớn từ 3.000m²,17,0.62,1.34,1.92
2026-09-21,Đất view hồ / view đẹp,40,1.52,2.89,4.68
2026-09-21,Trung tâm Nam Ban (thị trấn cũ),67,1.06,2.64,4.42
2026-09-21,Đông Thanh,26,1.42,2.26,4.42
2026-09-21,Mê Linh,13,0.86,2.59,4.15
2026-09-21,Gia Lâm,11,0.75,2.18,3.9
2026-09-21,Hồ Bãi Công,10,2.22,3.23,4.14
2026-09-21,Từ Liêm,4,2.17,3.36,3.65
2026-09-21,Nam Hà (giáp Nam Ban),3,0.72,1.4,2.11
2026-09-24,Đất nền có thổ cư (dưới 3.000m²),96,1.42,2.83,4.59
2026-09-24,Đất vườn / lô lớn từ 3.000m²,18,0.52,1.28,1.9
2026-09-24,Đất view hồ / view đẹp,39,1.51,2.9,4.68
2026-09-24,Trung tâm Nam Ban (thị trấn cũ),66,1.05,2.63,4.43
2026-09-24,Đông Thanh,26,1.42,2.26,4.42
2026-09-24,Mê Linh,14,0.53,2.4,4.42
2026-09-24,Gia Lâm,12,0.79,2.07,3.86
2026-09-24,Hồ Bãi Công,9,2.12,3.24,4.18
2026-09-24,Từ Liêm,4,2.17,3.36,3.65
2026-09-24,Nam Hà (giáp Nam Ban),4,0.8,1.85,5.59
2026-09-25,Đất nền có thổ cư (dưới 3.000m²),95,1.42,2.84,4.6
2026-09-25,Đất vườn / lô lớn từ 3.000m²,18,0.52,1.28,1.9
2026-09-25,Đất view hồ / view đẹp,39,1.51,2.9,4.68
2026-09-25,Trung tâm Nam Ban (thị trấn cũ),65,1.04,2.64,4.44
2026-09-25,Đông Thanh,26,1.42,2.26,4.42
2026-09-25,Mê Linh,14,0.53,2.4,4.42
2026-09-25,Gia Lâm,12,0.79,2.07,3.86
2026-09-25,Hồ Bãi Công,9,2.12,3.24,4.18
2026-09-25,Từ Liêm,4,2.17,3.36,3.65
2026-09-25,Nam Hà (giáp Nam Ban),4,0.8,1.85,5.59
2026-09-26,Đất nền có thổ cư (dưới 3.000m²),100,1.44,2.82,4.61
2026-09-26,Đất vườn / lô lớn từ 3.000m²,18,0.52,1.28,1.9
2026-09-26,Đất view hồ / view đẹp,39,1.51,2.9,4.68
2026-09-26,Trung tâm Nam Ban (thị trấn cũ),66,1.05,2.64,4.43
2026-09-26,Đông Thanh,28,1.42,2.22,4.29
2026-09-26,Mê Linh,15,0.55,2.6,4.84
2026-09-26,Gia Lâm,12,0.79,2.07,3.86
2026-09-26,Hồ Bãi Công,9,2.12,3.24,4.18
2026-09-26,Từ Liêm,4,2.17,3.36,3.65
2026-09-26,Nam Hà (giáp Nam Ban),5,0.89,1.81,5.12
